站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
21世紀不動產天母三越加盟店站,台北市士林區天母東路67號(近新光三越百貨天母店),24HR,已啟用,25.118233,121.534309,https://cdn.gogoro.com/resources/images/gostations/TW1115301A_01.jpg
23區站,台北市士林區重慶北路四段241號(近重陽大橋),24HR,已啟用,25.085638,121.510853,https://cdn.gogoro.com/resources/images/gostations/TW1116501A_01.jpg
7-ELEVEN 上誠店站,台中市西區向上路一段381號，383號，385號(向上路一段/精誠路交叉口),24HR,已啟用,24.146529,120.655434,https://cdn.gogoro.com/resources/images/gostations/TW4036101A_01.jpg
7-ELEVEN 仁伯店站(建置中),台南市仁德區德安路188號(近德安路/德善路口),24HR,建置中,22.948882,120.255577,https://cdn.gogoro.com/resources/images/gostations/TW7175801A_01.jpg
7-ELEVEN 南門城店站(建置中),台南市中西區南門路229號(近中山國中),24HR,建置中,22.983656,120.204114,https://cdn.gogoro.com/resources/images/gostations/TW7004901A_01.jpg
7-ELEVEN 吉峰店站,台中市霧峰區德泰街11號(近國泰人壽),24HR,已啟用,24.068567,120.699323,https://cdn.gogoro.com/resources/images/gostations/TW4134401A_01.jpg
7-ELEVEN 和峰店站,彰化縣和美鎮道周路279號(近道周路/愛國路交岔口),24HR,已啟用,24.106664,120.499193,https://cdn.gogoro.com/resources/images/gostations/TW5084501A_01.jpg
7-ELEVEN 善和店站(建置中),台南市善化區大成路319號(近善化高中),24HR,建置中,23.129703,120.298121,https://cdn.gogoro.com/resources/images/gostations/TW7416901A_01.jpg
7-ELEVEN 圓通南店站,台中市潭子區圓通南路239號(近圓通南路/興華一路口),24HR,已啟用,24.207120,120.703250,https://cdn.gogoro.com/resources/images/gostations/TW4275001A_01.jpg
7-ELEVEN 埞富店站,台南市南區大成路二段86號(近大成路二段/夏林路口),24HR,已啟用,22.975012,120.195042,https://cdn.gogoro.com/resources/images/gostations/TW7025501A_01.jpg
7-ELEVEN 奇蹟店站(建置中),台南市永康區永大路3段299號 (近永大路三段/龍埔街口 ),24HR,建置中,23.034563,120.259372,https://cdn.gogoro.com/resources/images/gostations/TW7107602A_01.jpg
7-ELEVEN 安安店站,台南市安南區安明路四段260-70號(近安明路四段/安中路六段),24HR,已啟用,23.061261,120.133971,https://cdn.gogoro.com/resources/images/gostations/TW7094801A_01.jpg
7-ELEVEN 安立店站,台南市安南區安中路四段150號(近安中路四段/安中路四段164巷口),24HR,已啟用,23.049636,120.170009,https://cdn.gogoro.com/resources/images/gostations/TW7096101A_01.jpg
7-ELEVEN 宏橋店站,新竹縣湖口鄉工業一路7號(光復路/工業一路交叉口),24HR,已啟用,24.870261,121.026532,https://cdn.gogoro.com/resources/images/gostations/TW3037301A_01.jpg
7-ELEVEN 岦湖店站,新竹市香山區內湖路138號(近內湖國小),24HR,已啟用,24.741642,120.906032,https://cdn.gogoro.com/resources/images/gostations/TW3009402A_01.jpg
7-ELEVEN 康平店站,台南市安平區健康三街81號(近健康三街/府平路口),24HR,已啟用,22.987140,120.168140,https://cdn.gogoro.com/resources/images/gostations/TW7084501A_01.jpg
7-ELEVEN 新東專店站,高雄市湖內區中山路一段229號(近大湖火車站),24HR,已啟用,22.880454,120.249708,https://cdn.gogoro.com/resources/images/gostations/TW8294101A_01.jpg
7-ELEVEN 晨希店站,新竹縣湖口鄉榮光路617號(榮光路/三民路交叉口),24HR,已啟用,24.866089,120.997233,https://cdn.gogoro.com/resources/images/gostations/TW3035001A_01.jpg
7-ELEVEN 東泓店站,台中市東區東門路140號(近東昇橋),24HR,已啟用,24.127188,120.699866,https://cdn.gogoro.com/resources/images/gostations/TW4014501A_01.jpg
7-ELEVEN 榮鑫店站,台北市中山區建國北路三段89及91號前(近榮星花園),24HR,已啟用,25.065727,121.536721,https://cdn.gogoro.com/resources/images/gostations/TW1047301A_01.jpg
