VmId,站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
006a030d-88a1-4f43-ab9c-81f1c2f236eb,台糖中華加油站,高雄市前鎮區中華五路825號(近時代大道/中華五路口),24HR,建置中,22.598081,120.307752,https://cdn.gogoro.com/resources/images/gostations/TW8066102A_01.jpg
00a23773-9a7d-41e1-83cd-4519f18b4919,全聯小港店北店站,高雄市小港區店北路159號(近店北路/店鳳街口),24HR,已啟用,22.562222,120.351278,https://cdn.gogoro.com/resources/images/gostations/TW8124801A_01.jpg
00c1b337-2b3d-498b-a055-e04e3740a64c,中油龜山加油站,桃園市龜山區萬壽路二段640號(近萬壽路/自強北路口),24HR,已啟用,25.000117,121.346286,https://cdn.gogoro.com/resources/images/gostations/TW3334301A_01.jpg
012c542e-da03-4207-b979-5fc78cbeb487,全聯新莊龍安店站,新北市新莊區中正路893巷2之1號(近迴龍捷運站3號出口對面),24HR,已啟用,25.020996,121.413096,https://cdn.gogoro.com/resources/images/gostations/TW2425702A_01.jpg
01f7ff69-facd-455a-9e2d-129dc3fdc628,全聯大園和平店站,桃園市大園區和平東路65號(近和平東路與和平二街路口),24HR,已啟用,25.061972,121.200064,https://cdn.gogoro.com/resources/images/gostations/TW3375602A_01.jpg
0217ecca-1cf4-4a21-a242-4414086c76d5,台亞龍潭交流道加油站,桃園市龍潭區中正路605號 (近中正路與雙連街交岔口),24HR,建置中,24.855230,121.220200,https://cdn.gogoro.com/resources/images/gostations/TW3255701A_01.jpg
0223bc68-ec01-4762-8070-b70cfce4199d,西歐新竹中華加油站,新竹市東區中華路二段59號(近新竹高工),24HR,已啟用,24.808151,120.981899,https://cdn.gogoro.com/resources/images/gostations/TW3006001A_01.jpg
029032c7-56a3-4e12-bb15-a973e3a96527,HiLife 台中建興店站,台中市南區復興路二段175-1.175-2號(近四育國中),24HR,已啟用,24.127435,120.666004,https://cdn.gogoro.com/resources/images/gostations/TW4025201A_01.jpg
03105b4b-2ba7-4bb9-9cb5-802a37533107,西歐桃園中山加油站,桃園市桃園區中山路1536號(近衛生福利部桃園醫院),24HR,已啟用,24.975859,121.265980,https://cdn.gogoro.com/resources/images/gostations/TW3305701A_01.jpg
03e1b0fc-4039-424c-ba36-ea37e65356de,Gogoro 高雄中山店站,高雄市新興區中山一路2號(近捷運中央公園站2號出口),24HR,已啟用,22.624185,120.301153,https://cdn.gogoro.com/resources/images/gostations/TW8005401A_01.jpg
0413d153-4be1-485c-8e8e-ddcffa980caf,全聯平鎮環南店站,桃園市平鎮區環南路三段69號(近環南路三段/德育路二段交岔口),24HR,已啟用,24.940262,121.218494,https://cdn.gogoro.com/resources/images/gostations/TW3245502A_01.jpg
04764925-72ba-487a-9e7b-936a8a37bf6e,全聯新竹武陵店站,新竹市北區武陵路157-1號(近武陵路/湳中街口),24HR,已啟用,24.820544,120.967768,https://cdn.gogoro.com/resources/images/gostations/TW3005301A_01.jpg
0484b938-a72f-44d2-b8cf-03500189b139,Gogoro 蘆洲三民服務中心站,新北市蘆洲區三民路140號(近國立空中大學),24HR,已啟用,25.087747,121.470714,https://cdn.gogoro.com/resources/images/gostations/TW2476002A_01.jpg
0504b14f-570a-431a-9e37-0ca13adc8d1b,新莊福營休閒廣場站,新北市新莊區富國路176巷(近鴻金寶麻吉影城),24HR,已啟用,25.023881,121.424266,https://cdn.gogoro.com/resources/images/gostations/TW2426501A_01.jpg
0550abf9-0ec4-45f9-975c-87d2f3e19e6b,HiLife 三民鼎金店站,高雄市三民區鼎中路139號(近鼎中路/金山路口),24HR,已啟用,22.661849,120.319036,https://cdn.gogoro.com/resources/images/gostations/TW8079401A_01.jpg
05b5f6f6-29f7-4add-b322-e7a1245ac230,中油仁武加油站,高雄市仁武區鳳仁路282號(近仁武運動公園),24HR,建置中,22.703342,120.344502,https://cdn.gogoro.com/resources/images/gostations/TW8145201A_01.jpg
05cc0def-f408-4087-8d0e-6de21da20ecb,台北捷運芝山站B,台北市士林區福華路捷運站1號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.101550,121.522660,https://cdn.gogoro.com/resources/images/gostations/TW1115801B_01.jpg
05e7557e-3fbd-452a-b310-e51318f44876,Gogoro 內湖西湖授權服務中心站,台北市內湖區內湖路一段411巷19弄17號(近麗山國小),24HR,已啟用,25.082364,121.571896,https://cdn.gogoro.com/resources/images/gostations/TW1144201A_01.jpg
