站名,地址,營業時間,目前狀態,緯度,經度
孚海國際站,台北市內湖區瑞光路358巷38弄34號,24HR,已啟用,25.075914,121.572819
Gogoro 西門西寧店站,台北市萬華區西寧南路62號,24HR,已啟用,25.043788,121.506186
熊展通訊站,台北市萬華區雙園街150號,24HR,已啟用,25.031659,121.491934
東吳大學城區部站,台北市中正區延平南路133巷底,24HR,已啟用,25.037805,121.509056
便利停車場建國站,台北市中山區建國北路二段11巷 (內右側空地),24HR,已啟用,25.053452,121.537860
台塑政大站,台北市文山區指南路一段53號,24HR,已啟用,24.987925,121.570822
台北捷運內湖機廠站(建置中),台北市南港區經貿一路265號,24HR,建置中,25.061271,121.618311
Gogoro 全球體驗中心站,台北市信義區松壽路18號,24HR,已啟用,25.035705,121.566811
台北捷運大湖公園站(建置中),台北市內湖區成功路5段11號,24HR,建置中,25.083338,121.602664
7-ELEVEN榮鑫門市站,台北市中山區建國北路三段89及91號,24HR,已啟用,25.065693,121.536686
丁香豆花長安店站,台北市松山區八德路二段387號,24HR,已啟用,25.048004,121.545249
家樂福三民店站,台北市松山區三民路160號(二樓機車停車場),08:00 ~ 22:00,已啟用,25.061637,121.563343
北投熱海溫泉大飯店站,台北市北投區光明路258號,24HR,已啟用,25.136547,121.509322
台北捷運劍南路站(建置中),台北市中山區北安路798號,24HR,建置中,25.084767,121.555097
中油中崙站,台北市中山區八德路二段214號,24HR,已啟用,25.046397,121.539625
陸海加氣站,台北市松山區濱江街375號,24HR,已啟用,25.072577,121.552997
逐居國際室內設計公司站,台北市文山區興隆路四段49-2號,24HR,已啟用,24.990098,121.559738
中油內湖站,台北市內湖區民權東路六段50號,24HR,已啟用,25.068469,121.584293
中油勝利站,台北市大安區建國南路二段75-1號,24HR,已啟用,25.031030,121.537669
Gogoro 士林文林店站,台北市士林區文林路65號,24HR,已啟用,25.087291,121.525723
中油汀州路站,台北市中正區汀州路三段1號,24HR,已啟用,25.020661,121.525946
Gogoro 饒河服務中心站,台北市松山區八德路四段650號,24HR,已啟用,25.049931,121.574990
台北捷運劍潭站(建置中),台北市士林區中山北路5段65號,24HR,建置中,25.084873,121.525078
23區站,台北市士林區重慶北路四段241號,24HR,已啟用,25.085960,121.510856
台北捷運士林站(建置中),台北市士林區福德路1號,24HR,建置中,25.093535,121.526230
台亞承德路站,台北市北投區承德路七段303號,24HR,已啟用,25.116785,121.504170
先奕實業站,台北市大同區昌吉街248號,24HR,已啟用,25.065863,121.510003
中油東湖站,台北市內湖區康寧路三段225號,24HR,已啟用,25.067589,121.612125
機器人王國站,台北市中正區中華路二段165號,24HR,已啟用,25.030812,121.504192
中油陽明山站,台北市士林區格致路3號,24HR,已啟用,25.135388,121.545976
中油新生北路站,台北市中山區新生北路二段71號,24HR,已啟用,25.056500,121.528018
禾悅生活士林店站,台北市士林區承德路四段233號,24HR,已啟用,25.088469,121.522063
Gogoro 圓山服務中心站,台北市大同區承德路三段237號,24HR,已啟用,25.070867,121.518740
蘋果派站,台北市文山區羅斯福路五段183號,11:00 ~ 22:00,已啟用,25.002812,121.538904
台北捷運民權西路站(建置中),台北市中山區民權西路72號,24HR,建置中,25.062612,121.519528
中油福林站,台北市士林區中山北路五段465號,24HR,已啟用,25.092720,121.527594
台塑福華站,台北市文山區興隆路2段244巷1號,24HR,已啟用,25.000852,121.553948
中油南港站,台北市南港區南港路二段50號,24HR,已啟用,25.054144,121.604651
中油山隆華中站,台北市萬華區萬大路388號,24HR,已啟用,25.021848,121.498647
21世紀不動產天母三越加盟店站(建置中),台北市士林區天母東路67號,24HR,建置中,25.118563,121.534321
上下工站,台北市信義區嘉興街181巷9弄54號,24HR,已啟用,25.026930,121.557868
中油山隆萬大站,台北市萬華區萬大路207號,24HR,已啟用,25.027161,121.500717
台北捷運復興崗站(建置中),台北市北投區中央北路3段53巷10號,24HR,建置中,25.137474,121.485444
